S.no,State,"Name of District (Traffic
unit)","Name of Jurisdictional
Police Station",NH/SH/M,Name of Location Place,Starting,Ending to,Number of Accidents 2016,Number of Accidents 2017,Number of Accidents 2018,Number of Accidents Total of all 3 years,Number of Fatalities 2016,Number of Fatalities 2017,Number of Fatalities 2018,Number of Fatalities Total of all 3 years
30,Telangana,Kamareddy,Devanpally,NH 44,Tekriyal /'X' Road,117.5,117,10,4,3,17,8,5,3,16
31,Maharastra,Dhule,Dhule Taluka,NH-6,Katsar Village,508/8,509/3,2,,,2,19,,,19
32,Maharastra,Nanded,Nanded Rural,NH- 361,Muslmanwadi Pati,15 Km,15.5 Km,1,2,2,5,1,7,5,13
33,Maharastra,Amravati Rural,Loni,NH-6,Nagzari Fata,177/950,177/950,1,4,3,8,1,5,4,10
34,Maharastra,Solapur Rural,Tembhurni,NH-65,Kanergaon Pati Solapur To Pune,162/350,162/850,6,3,,9,6,3,,9
35,Maharastra,Dhule,Dhule Taluka,NH-3,Near Purmepada Village,282/0,282/5,0,7,,7,0,6,,6
36,Maharastra,Bhandara,Jawahar Nagar,NH-53,Shahapur,500/600,500/600,2,5,4,11,1,2,2,5
37,Maharastra,Satara,Bhuinj,NH-4,Near Anewadi Valsure Pul,748,748,0,2,4,6,0,2,3,5
38,Maharastra,Amaravati City,GadgeNagar,NH - 6,Gori In Hotel "T" Point,0,0,2,2,1,5,2,2,1,5
39,Maharastra,Dhule,Nardana,NH-3,Gori In Hotel "T" Point,216/2,216/5,1,5,,6,1,4,,5
40,Maharastra,Sangli,Miraj City,NH-166,Near D Mart Pandharpur Road Miraj,196/1,196/6,1,4,,5,1,4,,5
41,J&K,Ramban,Ramban,NHW-1A,Kelamorh,159,159.5,1,3,2,6,1,9,26,36
42,J&K,Ramban,Ramsoo,NHW-1A,Nachlana,173,173.5,1,4,3,10,2,19,4,28
43,J&K,Samba,Bari Brahmana,NHW-44,Railway Crossing,13.5,14,5,6,6,23,6,4,5,19
44,J&K,Ramban,Banihal,NHW-1A,Chamalwas,179,179.5,3,1,1,8,11,2,1,18
45,J&K,Kathua,Kathua,NH,Barnoti Morh,8 Km,8 ½ Km,19,18,15,70,4,5,3,16
46,J&K,Kathua,Rajbagh,NH,Rajbagh,500 Mtrs,01 Km,15,10,17,75,3,0,6,14
47,J&K,Ramban,Banihal,NHW-1A,Shatani Nallah,202,202.5,1,2,0,4,2,5,0,14
48,J&K,Kathua,Lakhanpur,NH,Lakhanpur To Golden Gate,500 Mtrs,1 Km,8,7,10,33,1,4,2,12
49,J&K,Ramban,Banihal,NHW-1A,Shabanbass,180,180.5,3,0,1,6,8,0,1,11
50,J&K,Samba,Samba,NHW-44,Bus Stand Chowk,1,1.5,16,7,5,28,7,2,1,10
51,Jharkhand,Deoghar,Jasidih,NH-333,Near Digariya Pahar,147.5,148,0,4,1,5,0,2,0,2
52,Jharkhand,Deoghar,Jasidih,NH-333,"Deoghar Jasidih Road, Near Railway Over
Bridge",156.8,157.3,1,2,2,5,1,1,1,3
53,Jharkhand,Deoghar,Mohanpur,NH-114A,"Hindolwaran,Deoghar Dumka Road",121.65,122.15,3,2,2,7,2,2,0,4
54,Jharkhand,Dumka,Dumka town,NH114A,Pusaro Bridge,66.5,67,0,1,5,6,0,1,3,4
55,Jharkhand,Dumka,Jama,NH114A,Asanthar,82,82.5,1,2,2,5,0,2,0,2
56,Jharkhand,Dumka,Jarmundi,NH114A,Basukinath Bus Stand,87,87.5,1,0,5,6,1,0,4,5
57,Jharkhand,Dumka,Jarmundi,NH114A,Jarmundi Bajrangbali More,92,92.5,6,1,1,8,5,0,0,5
58,Jharkhand,Dumka,Mufassil,NH114A,Dasoraidih,55.2,55.7,0,4,3,7,0,3,2,5
59,Jharkhand,Dumka,Saraiyahat,NH114A,Chihuntiya,104.5,105,0,3,2,5,0,3,3,6
60,Jharkhand,Dumka,Shikaripara,NH114A,"Patabari, Barmasia",48,48.5,9,2,2,13,5,0,2,7
61,Karnataka,Ramanagar District,Kaggalipura PS,NH 209,Agara Cross,7.5 Km,8 Km,9,24,35,68,13,14,10,37
62,Karnataka,Bagalkot District,BGK RL PS,NH 50,Devalapur Cross,0,500 (Mtrs),4,2,7,13,13,14,8,35
63,Karnataka,Ramanagar District,Traffic Station,NH-275,Mayaganahalli,8Km,8.5Km,8,9,13,30,13,14,3,30
64,Karnataka,Raichur District,Raichur Rural,NH,Base Pawer To M.P.C.L,0,500m,7,5,6,18,12,9,8,29
65,Karnataka,Chitradurga District,"Hiriyur Rural Police
Station",NH-4,J.G.Halli,17.5 Km,18 Km,9,12,6,27,7,12,9,28
66,Karnataka,Mandya,Mandya Traffic,NH-275,In Front Of East Ps Cross,263.1,263.3,8,11,9,28,4,11,12,27
67,Karnataka,Raichur District,Maski,NH,Lingasagur- Maski Road Santekellur Near,0,500m,1,,6,7,1,,23,24
68,Karnataka,Bengalurr City,"Electronic city Trffic
Police Station",National,"Hosuru Main Road ( Hulimavu Tr Ps
To Singasandra Bus Stop To Singasandra
Bus Stop )",9.3 Km,9.7 Km,6,15,25,46,4,4,15,23
69,Karnataka,Ramanagar District,Kaggalipura,NH 209,Lakshmipura Temple,6 Km,6.5 Km,6,12,23,41,10,5,8,23
70,Karnataka,Bangalore District,Hebbagodi,NH-07,Hebbagodi Bus Stop,0.00 Km,100 M,8,9,6,23,8,9,6,23
71,AP,EG,Ravulapalem PS,NH -16,"Govt J.R.Collage center, RTC Ingate",Colcutta 1036,Colcutta,16,9,13,38,19,14,17,50
72,AP,EG,Ravulapalem PS,NH -16,Ethakota Center,Colcutta 1042,Colcutta,13,14,11,38,15,16,16,47
73,AP,EG,Ravulapalem PS,NH -16,Gopalapuam Center,Colcutta 1047,Colcutta,12,10,14,36,13,13,18,44
74,AP,WG Dist,Palakol Rural,NH,Penkullapadu To Digamarru Bypass Center,500,500,12,13,5,30,15,16,6,37
75,AP,EG,Coringa PS,NH-216,Gurajanapalli,Chollangi,N.S.N Reddy,5,8,5,18,9,13,9,31
76,AP,Guntur Urban,Nallapadu PS,NH-16,Y-Junction,to wards Y-Junction 0,to wards Y-Junction 300,10,18,36,64,4,8,17,29
77,AP,Nellore,Sullurupeta PS,NH-16,Kotapoluru Cross Road,82+400,82+900,2,3,2,7,2,22,5,29
78,AP,WG Dist,Palakol Rural,NH,Lankalakoderu Center To S-Turning.,500,500,9,6,4,19,13,10,6,29
79,AP,Visakhapatnam District,Anakapalli (R),NH,KNR Peta,1,1.5,24,21,,45,18,9,,27
80,AP,EG,Annavaram PS,NH-16,"Kathipudi HP Petrol Bunk to Fly over
Bridge",200 Mtrs,800 Mtrs stone,9,14,9,32,3,14,9,26
81,"Arunachal
Pradesh",East Siang Distt.,Pasighat,NH -515,Sawmill Area,Sawmill area,100 Mtrs.,15,31,26,72,7,8,11,26
82,"Arunachal
Pradesh",Papum Pare,Itanagar PS,NH 415,Mithun Gate/O Point,Mithun gate/o,0.5 Km,2,2,1,5,0,0,1,1
83,"Arunachal
Pradesh",Upper Subansiri Distt.,Daporijo PS,NH 52,Post Office Daporijo,Post office,GREF camp,1,4,,5,0,1,0,1
84,"Arunachal
Pradesh",Papum Pare,Itanagar PS,NH 415,Bank Tinali,Bank Tinali,0.5 Km,3,1,3,7,0,0,0,0
85,"Arunachal
Pradesh",Papum Pare (Capital),Itanagar PS,NH 415,"Ganga, Near RKM Hospital","Ganga, Near",0.5 Km,2,3,0,5,0,0,0,0
86,Chandigarh,Chandigarh,Sector-31,NH-5,"Airport L/Point to CRPF Campus Hallo
Majra",7.54,7.04,2,5,5,12,2,6,4,12
87,Chandigarh,Chandigarh,Sector-31,NH-5,Poultry farm Chowk to BSNL Turn,5.03,4.53,4,4,4,12,4,4,3,11
88,Chandigarh,Chandigarh,Sector-31,NH-5,Tribune Chowk,4.1,4.6,3,0,3,6,3,0,3,6
89,Chandigarh,Chandigarh,Sector-31,NH-5,Hallomajra L/Point,5.12,5.62,4,1,1,6,3,1,1,5
90,Chandigarh,Chandigarh,Sector-36,NH-5,In front of ISBT- Sec.43,2,2,3,2,1,6,2,2,1,5
91,Chandigarh,Chandigarh,Sector-39,NH-5,Badheri Chowk,4.2,4.7,3,1,2,6,1,1,2,4
92,Chhattishgarh,Balrampur,Balrampur,NH 343,Daldhova,73.8,74.3,1,1,0,2,18,1,0,19
93,Chhattishgarh,Raipur,Amanaka,NH 53,Tatibandh Chowk To Sarona Overbridge,9.8,10.3,5,4,2,11,5,4,8,17
94,Chhattishgarh,Sarguja,Ambikapur,NH 130,Mendrakalra,210.6,211.1,4,5,5,14,4,5,4,13
95,Chhattishgarh,Raipur,Rajendra,NH 53,Pachpedinaka,0.8,0.9,5,5,2,12,5,5,2,12
96,Chhattishgarh,Mahasamund,Sankara,NH-53,Sankara,156.02,156.08,2,6,1,9,3,8,1,12
97,Chhattishgarh,Rajnandgaon,Lalbag,NH 53,Pendri,346,346.4,4,7,3,14,2,7,3,12
98,Chhattishgarh,Bilaspur,Ratanpur,NH 111,Khandoba Sanjhipara Bypass,21,21.5,21,2,8,31,7,3,2,12
99,Chhattishgarh,Bilaspur,Sirgitti,NH 130,Tifara Overbridge,5,5.5,9,0,4,13,5,4,2,11
100,Chhattishgarh,Sarguja,Ambikapur,NH 130,Sandbar,218,218.5,6,4,3,13,5,4,2,11
101,Chhattishgarh,Durg,Old Bhilai,NH-53,Charoda,302.5,303,4,3,2,9,5,3,2,10
102,Goa,North Goa,Old Goa,NH 748,"Malik Petrol Pump, Corlim (500 Mtrs)",Railway,"Cross Mollar,",3,3,1,7,3,7,1,11
103,Goa,North Goa,Agacaim,NH 66,Agacaim Bypass Road (500 Mtrs),Toll Naka,Edward Bar &,7,0,1,8,8,0,1,9
104,Goa,North Goa,Porvorim,NH 66,"Damian De Goa To Tisk Porvorim
(500 Mtrs)",Damian De,Tisk Porvorim,3,6,1,10,3,5,1,9
105,Goa,South Goa,Collem,NH 66,Anmod Ghat (12 Km),Nandran,Goa Border (6,4,7,1,12,3,4,2,9
106,Goa,North Goa,Porvorim,NH 66,Old Porvorim Bazar (500 Mtrs),Damiandi,Tisk Porvorim,3,6,,9,3,5,,8
107,Goa,North Goa,Pernem,NH 66,Naibag Slope (500 Mtrs),Panjabi,Naibag,1,5,,6,1,6,,7
108,Goa,North Goa,Porvorim,NH 66,"Holy Family Church To Wadakadem
(500 Mtrs)",Holy Family,Wadakadem,3,3,2,8,3,2,1,6
109,Goa,North Goa,Pernem,NH 66,Chopdem Junction (500 Mtrs),Near,Agarwada,1,4,2,7,1,2,3,6
110,Goa,South Goa,Ponda,NH 748,Cone Farmagudi (500 Mtrs),Cone Priol,Farmagudi out,2,3,7,12,1,1,4,6
111,Goa,South Goa,Vasco,NH 566,Dabolim (1Km),Dabolim,Air Port,3,4,5,12,1,2,3,6
112,Gujrat,Surat Rural,kosamba,N.H-48,Pipodara,235,235.5,19,18,29,66,15,13,17,45
113,Gujrat,"Vadodara
Rural",Varnama,NH,"Por Itola
Chokdi",12,12.5,10,5,15,30,12,5,24,41
114,Gujrat,Vadodara Rural,Karjan,NH 48,"Near Sansrod
Chokdi",21,21.5,5,7,14,26,8,12,18,38
115,Gujrat,Vadodara Rural,Karjan,NH 48,"Near
Kandari Chokdi",6,6.5,5,11,9,25,8,14,15,37
116,Gujrat,Vadodara City,Makarpura,8,"Sundarpura Patiya To Ah' Bad Km.
Jambuva
Bridgi",131.5,132,12,12,12,36,7,15,8,30
117,Gujrat,"Vadodara
Rural",Varnama,NH,"Varsada
Chokdi",4.5,5,5,6,7,18,12,8,10,30
118,Gujrat,Gir Somnath,Una,NH-51,"Nathej Village
Near",4,4.5,4,4,0,8,22,8,0,30
119,Gujrat,Gir Somnath,Una,NH-51,"Naliya Mandvi Nagina Dhora
Pase",10,10.5,4,4,,8,22,8,,30
120,Gujrat,Surat Rural,kosamba,N.H-48,Nandavpatiya,224,224.5,14,17,20,51,11,7,11,29
121,Gujrat,Vadodara Rural,Karjan,NH 48,Near Bamangam,11.5,12,5,6,7,18,8,11,9,28
122,Haryana,Sonipat,Murthal,44,Kamaspur Chowk,46.1,46.6,9,9,14,32,10,16,13,39
123,Haryana,Sonipat,Rai,44,Balgarh Chowk,41.9,42.4,14,10,10,34,11,16,11,38
124,Haryana,Ambala,Parao,44,Near Vill. Mohra,191.4,191.85,10,10,11,31,10,8,10,28
125,Haryana,Ambala,Parao,44,Shastri Cut,197.97,198.47,4,4,9,17,4,8,8,20
126,Haryana,Sonipat,Kundli,44,Pau Maniyari Cut,31.73,32.2,8,4,4,16,10,4,4,18
127,Haryana,Sonipat,Rai,44,Rai Cut,38.82,39.22,5,6,7,18,7,6,5,18
128,Haryana,Sonipat,Rai,44,Biswan Meel,37.36,37.9,5,5,6,16,6,5,6,17
129,Haryana,Fatehabad,Sadar,9,Dariyapur,227.2,227.22,6,4,5,15,4,4,8,16
130,Haryana,Panipat,Chandni Bag,44,Siwah Cut,84,84.5,4,6,14,24,3,5,5,13
131,Haryana,Faridabad,Sec-37,44,NHPC Metro Station,21.7,22.2,1,3,6,10,1,4,5,10
132,HP,Mandi,"BSL Colony
Sundernagar",NH 21,Tail Control,Humsafar,Tail Control,4,2,3,9,9,4,11,24
133,HP,Mandi,"BSL Colony
Sundernagar",NH 21,Naresh Chowk,Tail Control,Naresh Chowk,1,7,3,11,1,12,4,17
134,HP,Shimla,Theog,NH-5,Near Dogra Mod Sandhu,178.3,178.5,5,6,4,15,4,3,7,14
135,HP,Shimla,Kumarsain,NH-5,Singhapur,252.9,253.26,2,4,1,7,3,6,2,11
136,HP,Shimla,New Shimla,NH-5,"Mist Chamber Crossing To Khalini
Bifurcation",146.2,146.7,2,2,3,7,6,2,3,11
137,HP,Baddi,Baddi,NH/105,Kishanpura,24/600,25/100,10,5,,15,7,3,,10
138,HP,Shimla,Kumarsain,NH-5,Reddi Khad,208.5,209,2,4,1,7,3,6,1,10
139,HP,Kangra,Shahpur,NH 154,Sarnu Near Water Kuhal,63/735,63/885,2,4,2,8,2,5,2,9
140,HP,Kangra,Indora,NH 44,Mohtali Ramp,104/740,104/760,2,3,3,8,3,3,3,9
141,HP,Baddi,Baddi,NH/105,Bhud,22/400,22/900,9,11,,20,3,6,,9
142,Manipur,Thoubal,Thoubal PS,NH 102,Thoubal Haokha Area,Haokha area,Keyam Sephai,3,9,,12,1,2,,3
143,Manipur,Kakching,Kakching,NH 102,Kakching Khunuta Ching,"3Kms,",3 Kms &,2,2,2,6,0,1,1,2
144,Manipur,Thoubal,Thoubal PS,NH 102,"Heirok Lamkhai, Wangjing",Wangjing,Uningkhong,6,1,3,10,1,0,0,1
145,Manipur,Kakching,Kakching,NH 102,Heitroipokpi Near Power House,4 Kms & 500,"5 Kms,",4,2,3,9,0,0,1,1
146,Manipur,Kakching,Kakching,NH 102,Kakching Lamkhai,2 Kms & 500,"3Kms,",4,1,2,7,0,0,0,0
147,Megahalaya,Jowai Traffic Branch,Jowai,,Wah Gate Chahtngit Jowai,0 Km,0.5 Km,0,9,2,11,0,2,0,2
148,Megahalaya,East Jaintia Hills,Khliehrait PS,NH,Byndihati,6 Km,6 Km,7,,,7,1,,,1
149,Megahalaya,Jowai Traffic Branch,Jowai,,Mooralong NH44,0 Km,0.5 Km,5,4,5,14,0,0,0,0
150,Mizoram,Aizawl,Vaivakawn,NH,Rangvamual,2,7,3,3,4,10,4,3,5,12
151,Mizoram,Aizawl,Kulikawn,NH,World Bank Road,2,7,1,2,2,5,1,2,2,5
152,Mizoram,Kolasib,Kolasib,NH-306,Khuangpuilam,1,2,0,2,1,3,0,2,1,3
153,Mizoram,Kolasib,Kolasib,NH-306,Khamrang,1,4,2,0,0,2,2,0,0,2
154,Mizoram,Serchhip,Serchhip,NH,Ralkiauva Kham,1,9,0,1,1,2,0,1,1,2
155,MP,Shivpuri,Amola,NH 27,Naya Amola Sirsos Chouraha,02-May,3-0,6,11,7,24,6,8,9,23
156,MP,Khargon,Maheswar,NH 3,"Ganpati Ghat Ganesh Mandir Ke Pas A B
Road Bakaner",50-1,50-21,4,5,8,17,3,13,7,23
157,MP,Devash,O Chetra Devash,NH 3,Rasoolpur Chouraha,1-0,01-May,158,,,158,22,,,22
158,MP,Sagar,Cant,NH 26,For Line Gadpahra Tiraha,2-0,02-May,8,14,5,27,4,8,9,21
159,MP,Dhar,Sector 1,NH 3,Ab Road Bhodiya Talab Ke Samne Tiraha,22-0,22-Feb,6,4,13,23,7,3,9,19
160,MP,Mandsore,Pipaliya Mandi,NH 79,Pipliya Mandi Choupati Highway Road,14-May,15,7,6,9,22,7,5,7,19
161,MP,Shivpuri,Amola,NH 27,Amola Krasher,10,10-May,3,4,6,13,7,5,5,17
162,MP,Dhar,Dhamnod,NH 3,Ganesh Ghat,8,12,82,,,82,17,,,17
163,MP,Nimach,Jawad,NH 79,Kanka Fanta Highway,03-Jan,03-Feb,2,3,18,23,2,11,3,16
164,MP,Bhind,Dehat,NH 92,Daboha More,3-0,03-May,5,5,10,20,2,4,9,15
165,Nagaland,Kohima,South PS,NH/29,Nst Garage New Reserve Junction,184,184.5,10,5,5,20,2,0,0,2
166,Nagaland,Kohima,South PS,NH/29,City Church-IOC,182-5,183,17,9,14,40,0,0,1,1
167,Nagaland,Kohima,South PS,NH/29,"New Reserve Junction, Revival Church",184.5,185,5,0,7,12,1,,0,1
168,Nagaland,Kohima,North PS,NH/2,Kezieke To Tinpati,1,1.5,5,,,5,1,,,1
169,Nagaland,Kohima,South PS,NH/29,Tcp Gate-City Church,182,182.5,16,11,9,36,0,0,0,0
170,Nagaland,Kohima,South PS,NH/29,IOC-Old NST,183,183-5,6,7,5,18,0,0,0,0
171,Nagaland,Kohima,South PS,NH/29,OLD INT NST garage,183.5,184,8,8,5,21,0,0,0,0
172,Nagaland,Kohima,Sechü Zubza PS,NH/29,Orphanage To Ar Camp,177.5,178,2,,5,7,0,0,,0
173,Nagaland,Kiphire,Kiphire PS,NH-202,Kiphire Town,220,220.5,1,3,1,5,0,0,0,0
174,Nagaland,Kohima,Sechü Zubza PS,NH/29,Lalmati To Peducha Village,164,164.5,6,5,,11,0,0,,0
175,Rajasthan,Jaipur Gramin,Chaikankan,8,Padasoli,339.75,339.95,13,14,9,36,7,15,4,26
176,Rajasthan,Jaipur Gramin,Chaikankan,8,Moukhampura,312.3,312.65,15,11,13,39,7,10,7,24
177,Rajasthan,Jaipur Gramin,Chaikankan,8,Mahlan,301.1,301.45,10,14,13,37,8,7,8,23
178,Rajasthan,Ajmer,Vyawar Sadar,8,Kharwa Chouraha,1,1,13,11,11,35,7,9,6,22
179,Rajasthan,Rajsamand,Bhim,8,Nandawat,1.5,2,9,15,12,36,7,12,2,21
180,Rajasthan,Jaipur Purva,Kanota,NH-11,Mali Ki Kothi Bagrana,369 Km,369.10 Km,21,13,14,48,8,6,6,20
181,Rajasthan,Udaypur,Kherwad,8,Khandi Obari,345-60,346-10,6,7,3,16,6,11,3,20
182,Rajasthan,Jaipur Gramin,Bendakuramp,8,Belpur,0,500 Meter,5,12,4,21,5,12,2,19
183,Rajasthan,Bharatpur,Rupwas,NH 123,Bokoli,1,1,5,3,11,19,5,3,11,19
184,Rajasthan,Bundi,Taleda,U P 52,Bllop Pulia Ke Pas,0.5,1,12,3,7,22,2,1,16,19
185,Tamilnadu,Chennai City,"T1 Ambattur Traffic
PS",NH 205,"C.T.H. Road Mannurpet, AMBT Tel
Exchange",18,18.5,251,300,224,775,59,56,51,166
186,Tamilnadu,Chennai City,"T15 SRMC Traffic
PS",NH 48,"Tambaram - Puzhal Bypass Road, Porur
Toll Gate Near",17,17.5,173,119,131,423,30,30,37,97
187,Tamilnadu,Chennai City,"T12 Poonamallee
Traffic PS",NH 44,"Bangalore-Chennai NH Rd, Nazarethpet
junction",5,5.5,166,188,166,520,27,37,31,95
188,Tamilnadu,Cuddalore,Kadampuliyur PS,NH 45 C,Panikankuppam,30.4,30.9,113,86,86,285,16,11,14,41
189,Tamilnadu,Vellore,Ambur Taluk PS,NH 46,Minnur Jn,32,32.5,11,9,18,38,11,9,18,38
190,Tamilnadu,Kanchipuram,G1 Madhuranthagam,NH,Karunkuzhi,4,4.5,32,30,20,82,12,12,12,36
191,Tamilnadu,Chennai City,"T4 Maduravoyal
Traffic PS",NH 45,P.H Road-Vembuli Amman Koil Junction,0.5,1,45,59,43,147,9,22,5,36
192,Tamilnadu,Vellore,Ambur Taluk PS,NH 46,Periyangkuppam Jn,35,35.5,11,11,13,35,11,11,13,35
193,Tamilnadu,Viluppuram,Olakkur PS,NH 45,Saram BDO office,114+750,115+250,27,27,24,78,10,15,6,31
194,Tamilnadu,Cuddalore,Annamalai nagar PS,NH 45A,Vallampadugai,116.1,116.6,41,46,32,119,12,11,8,31
195,Uttrakhand,UKI,Dhrasu,NH 108,Nalupani,2,2.5,3,3,1,7,3,36,2,41
196,Uttrakhand,UDN,ITI,NH 74,Permanandpur,152,152.5,7,5,2,14,10,6,2,18
197,Uttrakhand,TWL,Chamba,NH 94,Kirgani,81,81.5,0,0,1,1,0,0,17,17
198,Uttrakhand,UKI,Purola,NH 507,Rikhau Khadd,62,62.5,0,0,1,1,0,0,15,15
199,Uttrakhand,UDN,Rudrapur,NH 74,Radha Swami Satsang,196,196.5,0,4,12,16,2,1,12,15
200,Uttrakhand,UDN,Kicha,NH 74,Lalpur,208,208.5,1,3,8,12,5,1,8,14
201,Uttrakhand,ALM,bhatroujkhan,NH 14,Kholyadhar,85,85.24,0,0,1,1,0,0,14,14
202,Uttrakhand,UDN,ITI,NH 74,Goutami Hight,149,149.5,4,2,4,10,7,2,4,13
203,Uttrakhand,NTL,Rannagar,NH 121,Kasba Pirumdara,235,235.3,7,6,4,17,2,7,4,13
204,Uttrakhand,UKI,Maneri,NH 109,Helkugad,60,60.2,0,1,0,1,0,12,0,12
205,Delhi,North West,"SP Badli, Swaroop
Nagar",NH-1,Libas Pur Bus Stand,16.2,15.7,16,10,18,44,10,3,9,22
206,Delhi,North West,"Mahendra Park & SP
Badli",NH-1,Mukarba Chowk,14.2,13.7,24,18,16,58,5,6,7,18
207,Delhi,North West,Alipur,NH-1,Shani Mandir,22.2,21.7,17,9,3,29,10,8,0,18
208,Delhi,North West,Adarsh Nagar,NH-1,Azad Pur Chowk,10.1,9.6,15,19,8,42,2,9,5,16
209,Delhi,West,Punjabi Bagh,NH-10,Punjabi Bagh Chowk,8.7,8.2,18,12,20,50,6,5,5,16
210,Delhi,North West,"SP Badli, Swaroop
Nagar",NH-1,Siraspur,17.5,17,9,13,11,33,2,8,6,16
211,Delhi,South,"Vasant Kunj South
and North",NH-8,Mahipalpur Flyover,18.3,17.8,19,18,12,49,2,6,7,15
212,Delhi,West,Punjabi Bagh,NH-10,Metro Station Madipur,12.1,11.6,12,21,15,48,4,6,5,15
213,Delhi,North West,Alipur,NH-1,Sindhu Border,29,28.5,7,8,8,23,2,5,8,15
214,Delhi,West,Mianwali Nagar,NH-10,Peera Garhi Chowk,14.7,14.2,17,14,20,51,3,5,6,14
215,WB,Hooghly Rural,Singur,NH-2,Ratanpur Bridge,632.07,632.42,14,4,4,22,11,2,4,17
216,WB,Howrah Rural,Uluberia,NH-6,Birshibpur,54.46,54.7,7,4,3,14,7,7,3,17
217,WB,Paschim Medinipur,Kharagpur (Local),NH-6,Basantapur,117.25,117.5,5,7,5,17,3,9,5,17
218,WB,Uttar Dinajpur,Islampur,NH-31,Ramganj,516.8,517,4,10,2,16,4,11,2,17
219,WB,Asansol-Durgapur PC,Kanksa,NH-2,Rajbandh,508.37,508.6,4,14,7,25,2,11,3,16
220,WB,Birbhum,Md. Bazar,NH-60,Seharakuri Bus Stand,349.1,349.3,6,8,4,18,7,7,2,16
