Sr. No.,State / Union Territory,SO2 (Annual Average),NO2 (Annual Average),PM10 (Annual Average),PM2.5 (Annual Average)
1,"Andhra Pradesh",6.8,16.5,65.0,28.0
2,"Arunachal Pradesh",2.5,4.8,65.0,NM
3,"Assam",6.0,11.5,90.0,41.0
4,"Bihar",7.5,23.5,155.0,78.0
5,"Chhattisgarh",9.2,15.8,66.0,28.0
6,"Goa",5.0,13.5,62.0,27.0
7,"Gujarat",15.5,21.5,105.0,41.0
8,"Haryana",9.5,28.5,165.0,74.0
9,"Himachal Pradesh",2.0,8.5,70.0,29.0
10,"Jharkhand",14.0,29.0,195.0,88.0
11,"Karnataka",9.5,17.5,82.0,34.0
12,"Kerala",6.5,11.5,53.0,24.0
13,"Madhya Pradesh",11.5,21.5,115.0,54.0
14,"Maharashtra",12.0,26.5,92.0,42.0
15,"Manipur",5.5,25.0,120.0,47.0
16,"Meghalaya",6.5,9.8,63.0,24.0
17,"Mizoram",1.8,4.8,34.0,19.0
18,"Nagaland",1.8,10.0,NM,NM
19,"Odisha",8.5,17.5,98.0,44.0
20,"Punjab",6.5,16.5,95.0,NM
21,"Rajasthan",9.5,25.0,130.0,54.0
22,"Sikkim",5.5,5.8,36.0,15.0
23,"Tamil Nadu",9.5,18.0,58.0,27.0
24,"Telangana",12.5,22.5,83.0,39.0
25,"Tripura",5.5,11.5,58.0,29.0
26,"Uttarakhand",7.5,19.5,83.0,38.0
27,"Uttar Pradesh",9.5,29.0,150.0,74.0
28,"West Bengal",10.5,24.0,118.0,58.0
29,"Andaman & Nicobar Islands",NM,NM,22,-
30,"Chandigarh",5,23,95,48
31,"Dadra & Nagar Haveli",16.5,21.5,75.0,29.0
32,"Daman & Diu",NM,NM,NM,NM
33,"Delhi",9,40,198,98
34,"Jammu & Kashmir",7.5,15.5,115.0,49.0
35,"Ladakh",NM,NM,NM,NM
36,"Lakshadweep",NM,NM,NM,NM
37,"Puducherry",9.5,19.5,68.0,29.0

